Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,Scientific Name,sex,identifiedBy,identificationRemarks,identificationQualifier,individualCount,lifeStage,preparations,establismentMeans ,basisOfRecord,institutionID,institutionCode,datasetID,catalogNumber,collectionCode,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-SR_000161,needed,SBBG-SR_000161,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Chalcidoidea,,Encyrtidae,,,,,,,,,,,Fritz Light,to Encyrtidae,,,,,,PreservedSpecimen,SBBG,,SBBG-SR,000161,,,Denise A. Knapp | Kathryn McEachern,,,,,1N-C_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 66% veg cover,,,,1N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766358,Zone10 N3759894,33.94584,-120.11799,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000162,y,SBBG-SR_000115,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,,,,,,,,,,,Fritz Light | Curt Harden,to Carabidae | Carabidae confirmed on BugGuide; move to Unidentified Larvae (Carabidae),,1,larva,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000162,,larva,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820321,,,,5S-A_20170320,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,20,pitfall in annual grassland with 16% veg cover,,,,5S-A,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,434 m,,,,Zone10 E767874,Zone10 N3760305,33.94916,-120.10148,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000163,see occurrenceRemarks,SBBG-SR_000040,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Coccinelloidea,,Latridiidae,,,,,,,,,,,Fritz Light | Vassili Belov,"to Latridiidae | Latridiidae confirmed on BugGuide, ",,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000163,,removed from BugGuide by Vassili Belov due to lack of appropriate image(s),Denise A. Knapp | Kathryn McEachern,image frassed on BugGuide | https://bugguide.net/node/view/1820330,,,,1S-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 30% veg cover,,,,1S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,458 m,,,,Zone10 E766398,Zone10 N3759712,33.94419,-120.11762,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000164,y,SBBG-SR_000086,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Fritz Light,to Melyridae,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000164,,,Denise A. Knapp | Kathryn McEachern,image frassed on BugGuide | https://bugguide.net/node/view/1820328,,,,3S-B_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall on barren with Quercus tomentella roots with 2% veg cover,,,,3S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,439 m,,,,Zone10 E767200,Zone10 N3759961,33.94623,-120.10887,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000165,y,SBBG-SR_000106,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Staphyliniformia,,,,Staphylinoidea,,Staphylinidae,,,,,,,,,,,Fritz Light | Vassili Belov,to Staphylinidae | to Aleocharinae from Staphylinidae on BugGuide,,1,,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000165,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820335,,,,4S-A_20170320,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,20,pitfall in perennial grassland with 20% veg cover,,,,4S-A,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000166,n,SBBG-SR_000009,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Heteroptera,Pentatomomorpha,,,,Pentatomoidea,,Scutelleridae,Eurygasterinae,,,,Eurygaster,,,,,,Fritz Light  ,to morphospecies SBBG-SR_000009,,15,,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000166,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000167,y,SBBG-SR_000099,possibly a unique morph,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Entomobryomorpha,,,,,,Entomobryoidea,,Entomobryidae,,,,,Entomobrya,,multifasciata,,,,Fritz Light | Frans Janssens,to Entomobryidae | to Entomobrya multifasciata from Entomobryidae on BugGuide,,5,,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000167,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820428 | https://bugguide.net/node/view/1820429,,,,BUGQUTO_20170323,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,23,pitfall in Quercus tomentella forest with 29% veg cover,,,,BUGQUTO,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Black Mountain,,361 m,,,,Zone10 E769892,Zone10 N3763774,33.97989,-120.07860,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000168,y,SBBG-SR_000026,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Symphypleona,,,,,,Sminthuroidea,,Bourletiellidae,,,,,Bourletiella,,gibbonsi,,,,Fritz Light | Frans Janssens,to Bourletiella gibbonsi from Bourletiellidae on BuGuide,,9,,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000168,,,Denise A. Knapp | Kathryn McEachern,image frassed on BugGuide because it's a duplicate of SR-026 | https://bugguide.net/node/view/1820432 | https://bugguide.net/node/view/1820433 | https://bugguide.net/node/view/1820437 | https://bugguide.net/node/view/1820439,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000169,y,SBBG-SR_000093,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Bibionomorpha,,,,Sciaroidea,,Sciaridae,,,,,,,,,,female,Fritz Light | John F. Carr,to Sciaridae | Sciaridae confirmed on BugGuide,,6,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000169,,female,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820780,,,,5N-B_20170320,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,20,pitfall in annual grassland with 6% veg cover,,,,5N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,446 m,,,,Zone10 E767934,Zone10 N3760523,33.95111,-120.10077,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000170,n,SBBG-SR_000024,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light   ,to morphospecies SBBG-SR_000024,,5,,,,PreservedSpecimen,SBBG,,SBBG-SR,000170,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000171,n,SBBG-SR_000026,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Symphypleona,,,,,,Sminthuroidea,,Bourletiellidae,,,,,Bourletiella,,gibbonsi,,Bourletiella gibbonsi,,Fritz Light,to  morphospecies SBBG-SR_000026,,20,,,,PreservedSpecimen,SBBG,,SBBG-SR,000171,,,Denise A. Knapp | Kathryn McEachern,,,,,1S-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in shrublands with 72% veg cover,,,,1S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,458 m,,,,Zone10 E766398,Zone10 N3759712,33.94419,-120.11762,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000172,y,SBBG-SR_000126,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,Aphidinae,,Macrosiphini,,Hyperomyzus,Hyperomyzus,lactucae,,Hyperomyzus lactucae,,Fritz Light | Natalie Hernandez,"to morphospecies SBBG-SR_000126 | to Hyperomyzus cf. lactucae from Aphididae on BugGuide, ""Looks like Hyperomyzus lactucae, coloration on the back can be a little variable""",,1,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000172,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821161,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000173,n,SBBG-SR_000015,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Brachycera,Cyclorrhapha,,Aschiza,,,,Phoridae,,,,,,,,,,,Fritz Light  ,to morphospecies SBBG-SR_000015,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000173,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000174,y,SBBG-SR_000060,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000060,,1,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000174,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821162,,,,1S-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 30% veg cover,,,,1S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,458 m,,,,Zone10 E766398,Zone10 N3759712,33.94419,-120.11762,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000175,y,SBBG-SR_000001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,Deltocephalinae,,Paralimnini,Paralimnina,,,,,,,Fritz Light | Ken Wolgemuth,to morphospecies SBBG-SR_000001 | Cicadellidae confirmed on BugGuide,,11,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000175,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821411,,,,1N-A_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 58% veg cover,,,,1N-A,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000176,y,SBBG-SR_000203,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,Megophthalminae,,Agalliini,Agalliina,Ceratagallia,,,,,,Fritz Light | Casey H. Richart | Vassili Belov | Solomon Hendrix | Casey H. Richart | Kylie Etter,"to Cicadellidae | Fritz considered this to be Cicadellidae morphospecies SBBG-SR_000101, however images of SR-101 are of wingless juveniles with red eyes instead of winged with silvery eyes. Thus, I am considering this to be the exemplar for an independent morphospecies | Cicadellidae confirmed on BugGuide | to Ceratagallia from Cicadellidae on BugGuide | to morphospecies SBBG-SR_000203 | I believe Fritz's morphed this to SR-02, and not SR-101 because this was the second vial he went through and it says SR-02 in the notebook..pulling that count information","""Moved tentatively"" to Ceratagallia",58,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000176,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821412,,,,1N-A_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 58% veg cover,,,,1N-A,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E766367,Zone10 N3759875,33.94567,-120.11790,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000177,y,SBBG-SR_000053,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light | Vassili Belov,to Cicadellidae | Cicadellidae confirmed on BugGuide,,3,immature,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000177,,immature,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821415,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000178,y,SBBG-SR_000101,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light | Vassili Belov | Solomon Hendrix,"to Cicadellidae | Cicadellidae confirmed on BugGuide | moved to Unifentified immature stages within Ciadellidae | I believe Fritz's notes said this was morphospecies SBBG-SR_000101, but embeded in the image on BugGuide says SR-102, SR-102 (https://bugguide.net/node/view/1821393) is different, thus embedded text assumed in error",,1,immature,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000178,,"Immature | I believe Fritz's notes said this was morphospecies SBBG-SR_000101, but embeded in the image on BugGuide says SR-102 | SR-102 (https://bugguide.net/node/view/1821393) is different, thus embedded text assumed in error",Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821417,,,,2N-B_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 35% veg cover,,,,2N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,466 m,,,,Zone10 E766467,Zone10 N3760022,33.94696,-120.11678,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000179,y,SBBG-SR_000102,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light | Solomon Hendrix,"to morphospecies SBBG-SR_000102 | Cicadellidae confirmed on BugGuide, moved to nymphs (Cicadellidae)",,2,immature,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000179,,immature,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821419 | https://bugguide.net/node/view/1821420,,,,5S-B_20170320,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,20,pitfall in annual grassland with 24% veg cover,,,,5S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,431 m,,,,Zone10 E767894,Zone10 N3760286,33.94898,-120.10127,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000180,y,SBBG-SR_000014,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Chalcidoidea,,Encyrtidae,,,,,Blapyrus,,,,,,Fritz Light | Ross Hill | Bob Zuparko,to Hymenoptera| to Encyrtidae from Hymenoptera on BugGuide | to Blepyrus from Encyrtidae on BugGuide ,,1,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000180,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1822660 | https://bugguide.net/node/view/1822662,,,,4N-B_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 63% veg cover,,,,4N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767163,Zone10 N3760499,33.95108,-120.10911,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000181,y,SBBG-SR_000004,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Formicoidea,,Formicidae,Myrmicinae,,Attini,,Pheidole,,californica,,Pheidole californica,,Fritz Light | Steven Wang,to morphospecies SBBG-SR_000004 | to Pheidole from Formicidae on BugGuide,,3,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000181,,worker ants,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821841,,,,1S-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 30% veg cover,,,,1S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,458 m,,,,Zone10 E766398,Zone10 N3759712,33.94419,-120.11762,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000182,n,SBBG-SR_000034,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Chalcidoidea,,Mymaridae,,,,,Gonatocerus,,,,,,Fritz Light,to Mymaridae morphospecies SBBG-SR_000034,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000182,,,Denise A. Knapp | Kathryn McEachern,,,,,5S-A_20170320,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,3,20,pitfall in annual grassland with 16% veg cover,,,,5S-A,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,434 m,,,,Zone10 E767874,Zone10 N3760305,33.94916,-120.10148,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000183,y,SBBG-SR_000049,platygastrid,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Platygastroidea,,Scelionidae,Teleasinae,,,,,,,,,,Fritz Light | Bob Zuparko,to Platygastridae | to Teleasinae from Platygastridae on BugGuide,,1,adult,70% EtOH | imaged,,PreservedSpecimen,SBBG,,SBBG-SR,000183,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1822667 | https://bugguide.net/node/view/1822668,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000184,n,SBBG-SR_000032,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Poduromorpha,,,,,,,,Hypogastruridae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000032,,70,,,,PreservedSpecimen,SBBG,,SBBG-SR,000184,,,Denise A. Knapp | Kathryn McEachern,,,,,1S-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in shrublands with 72% veg cover,,,,1S-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,458 m,,,,Zone10 E766398,Zone10 N3759712,33.94419,-120.11762,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
